---,Action,HP,Archetype,Mental
Idle_H_War,"(TagName=""Action.Idle"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Relaxed"")"
Idle_I_War,"(TagName=""Action.Idle"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Relaxed"")"
Idle_L_War,"(TagName=""Action.Idle"")","(TagName=""HP.Low"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Alert"")"
Idle_H_Thf,"(TagName=""Action.Idle"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Relaxed"")"
Idle_I_Thf,"(TagName=""Action.Idle"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Alert"")"
Idle_L_Thf,"(TagName=""Action.Idle"")","(TagName=""HP.Low"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Alert"")"
Combat_H_War,"(TagName=""Action.Combat"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Excitement"")"
Combat_I_War,"(TagName=""Action.Combat"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Excitement"")"
Combat_L_War,"(TagName=""Action.Combat"")","(TagName=""HP.Low"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Anxious"")"
Combat_H_Thf,"(TagName=""Action.Combat"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Alert"")"
Combat_I_Thf,"(TagName=""Action.Combat"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Anxious"")"
Combat_L_Thf,"(TagName=""Action.Combat"")","(TagName=""HP.Low"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Anxious"")"
Sneaking_H_War,"(TagName=""Action.Sneaking"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Alert"")"
Sneaking_I_War,"(TagName=""Action.Sneaking"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Anxious"")"
Sneaking_L_War,"(TagName=""Action.Sneaking"")","(TagName=""HP.Low"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Anxious"")"
Sneaking_H_Thf,"(TagName=""Action.Sneaking"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Excitement"")"
Sneaking_I_Thf,"(TagName=""Action.Sneaking"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Excitement"")"
Sneaking_L_Thf,"(TagName=""Action.Sneaking"")","(TagName=""HP.Low"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Alert"")"
Running_H_War,"(TagName=""Action.Running"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Relaxed"")"
Running_I_War,"(TagName=""Action.Running"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Alert"")"
Running_L_War,"(TagName=""Action.Running"")","(TagName=""HP.Low"")","(TagName=""Archetype.Warrior"")","(TagName=""Mind.Alert"")"
Running_H_Thf,"(TagName=""Action.Running"")","(TagName=""HP.Healthy"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Relaxed"")"
Running_I_Thf,"(TagName=""Action.Running"")","(TagName=""HP.Injured"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Alert"")"
Running_L_Thf,"(TagName=""Action.Running"")","(TagName=""HP.Low"")","(TagName=""Archetype.Thief"")","(TagName=""Mind.Anxious"")"
